gene,log2FC,pvalue,adjustedpvalue,-log(adjustedp),category
TFPI,0.6965462305845164,0.001640775217307442,0.002488899626486908,2.6039926174700914,Not Significant
TFPT,0.39911594068916056,0.016076598736405594,0.021454014903493055,1.6684914220214997,Not Significant
TFRC,0.9599632950194931,7.282857190430977e-06,1.465565377396576e-05,4.833994803353644,Not Significant
TGFB1,1.1419728711135857,3.074891896625953e-08,8.365538356502756e-08,7.077506105181548,Up
TGFB1I1,0.2990338914027838,0.08815753356946543,0.10658982076020045,0.9722842680933019,Not Significant
TGFB2,0.904816890327295,1.716266803965263e-07,4.2524687366042424e-07,6.371358870559643,Not Significant
TGFB3,1.2605328571720364,6.465736611057944e-08,1.702551287237595e-07,6.76889979663762,Up
TGFBI,1.1280594164181248,4.59167792565093e-07,1.0825543720974072e-06,5.965550281663871,Up
TGFBR1,0.36670562520859007,0.009600102500141122,0.013188262758871444,1.8798124086936452,Not Significant
TGFBR2,0.32549353571397127,0.004838816570547019,0.006926186976747169,2.159505788577279,Not Significant
TGFBR3,-0.7344504392453924,4.8531488088435954e-05,8.845460681361054e-05,4.053279543628994,Not Significant
TGFBRAP1,-0.539166598810196,3.6286387088433887e-09,1.106990044558934e-08,7.955856284823681,Not Significant
TGM2,-0.1319235550525925,0.4313802920953713,0.4695918699456934,0.32827943064521087,Not Significant
TGOLN2,-0.20011831750482126,0.013441560105137088,0.018111740988268215,1.742039801190265,Not Significant
TGS1,0.16635012917767927,0.05224835123011795,0.06524932069037766,1.185424005398972,Not Significant
THADA,0.2982129710772607,0.010811383123775026,0.014756843290765046,1.8310065346555031,Not Significant
THAP11,0.7022536285992274,7.255625265766534e-10,2.4268574354551366e-09,8.614955735334195,Not Significant
THAP12,0.4081646171442861,0.0019444095026927752,0.002924340198458185,2.533972105818523,Not Significant
THAP4,-1.9988494589118648,1.6130023039787582e-13,9.164705776263588e-13,12.03788147306906,Down
THBD,-0.017928571955089484,0.8707252824484999,0.8842095249684804,0.05344481105537587,Not Significant
THBS1,1.4235918641786407,1.263969663805056e-08,3.615460354643261e-08,7.441836396363285,Up
THBS2,0.026967871830152562,0.8038388219281923,0.823458153474122,0.08435846592597436,Not Significant
THBS3,0.7811529724594592,0.00013751345555256363,0.00023729734065759862,3.624707128804161,Not Significant
THBS4,-0.5040760600404944,0.01477873450971175,0.019816030852967875,1.7029833302381627,Not Significant
THEM4,-1.5816822362615781,6.806754905428363e-14,4.140941660467786e-13,12.382900887999286,Down
THEM6,-0.3703481755326546,0.00381819865649316,0.005533783043085116,2.256977871764993,Not Significant
THEMIS2,0.40009528239989495,0.026229226394718603,0.03400000218463586,1.46852105505259,Not Significant
THG1L,0.2312857059839229,0.04253385957121808,0.053651835225013204,1.2704154178832214,Not Significant
THNSL1,-1.8290941810654293,6.212888645361262e-23,2.3096413539130492e-20,19.636455453055525,Down
THNSL2,-0.682467255061918,0.000637701163469846,0.001018697269883,2.991954857752847,Not Significant
THOC1,0.8015756090884584,2.267057258942493e-09,7.122788713653006e-09,8.147349938128484,Not Significant
THOC2,1.0802761852812395,7.091097233346913e-17,9.078872214256828e-16,15.04196809658298,Up
THOC3,0.2637442254451923,0.00936883738864662,0.012892679584667196,1.8896568105059435,Not Significant
THOC5,1.0400729039069234,7.841556687592696e-14,4.706497323534582e-13,12.327302183948118,Up
THOC6,1.0380828590987916,2.5286559701689617e-14,1.6648184689113676e-13,12.778633114859257,Up
THOC7,0.9511403506435359,2.4209411381448416e-11,9.893826583019103e-11,10.004635706130511,Not Significant
THOP1,0.1289887263262166,0.052660945832998324,0.06573303575676695,1.1822163101817103,Not Significant
THRA,-1.0088597137204682,1.1867751505595295e-05,2.3272687532355206e-05,4.633153461445709,Down
THRAP3,1.1050080487207634,1.1584104821065199e-16,1.3907606353225796e-15,14.856747610269572,Up
THSD1,0.5779823867865144,0.007104386790823435,0.009942129887830215,2.0025205673688715,Not Significant
THSD4,0.21113711177219546,0.4036821055245471,0.44151802420983616,0.3550515624033054,Not Significant
