gene,log2FC,pvalue,adjustedpvalue,-log(adjustedp),category
TRHDE,-1.036602973841756,0.00775246014425009,0.017096474076588812,1.7670934479104412,Down
TRIAP1,-0.7332355053868391,0.010228358557975017,0.021426239531085117,1.6690540442734283,Not Significant
TRIL,-0.0060401550689307415,0.9852751444520367,0.9881230348397003,0.005188976439463112,Not Significant
TRIM11,-0.16211576314178425,0.11972318811538354,0.16735563491079006,0.7763596602439838,Not Significant
TRIM13,0.08103167598941363,0.31204478969075533,0.37834294885161,0.42211435553379306,Not Significant
TRIM14,0.7494307642673917,0.002453937075104387,0.006931623070491604,2.159165061488458,Not Significant
TRIM16,0.30138482190962906,0.30399324584572285,0.3701328454799543,0.43164237403009165,Not Significant
TRIM2,-1.7874861693150386,7.061723522848782e-05,0.0004936566833400469,3.3065749789415384,Down
TRIM21,0.6436429113379821,0.033308329584963464,0.05752553553175455,1.240139329592769,Not Significant
TRIM22,0.8807685498887408,3.503538010766042e-05,0.0003026417191208608,3.519071204749336,Not Significant
TRIM24,0.7740878198619312,0.0013502376862102455,0.004387956314630798,2.3577377048004315,Not Significant
TRIM25,0.8210025433888718,0.0006107695747724504,0.002397545219965706,2.6202331928762255,Not Significant
TRIM26,0.4708838746468406,0.0025445057591982115,0.007119828077283383,2.147530493159296,Not Significant
TRIM27,0.38244621088620356,0.010600883329637732,0.02207775001564609,1.6560451884419083,Not Significant
TRIM28,1.024855951130575,0.006566822907304307,0.01501297158843192,1.8235333372884912,Up
TRIM3,-1.6170461966219816,4.2474035148037124e-12,6.3070593044565775e-09,8.200173085373073,Down
TRIM32,-1.4840558438861617,6.2378978212868585e-09,9.410185278518104e-07,6.026401825600812,Down
TRIM33,0.4261395042272679,0.021736396841348326,0.04018723884930635,1.3959118319195398,Not Significant
TRIM34,1.5393787537356376,0.0001418586905273265,0.0008295545560106413,3.081155047137804,Up
TRIM36,-1.931658820049181,2.6022834408525803e-06,5.311048881662894e-05,4.274819701416719,Down
TRIM37,-0.33895769663451847,0.017889784637178982,0.034236949492258875,1.465504937852881,Not Significant
TRIM38,0.7602245503657954,0.0017951423454205732,0.005449498407410831,2.263643470002017,Not Significant
TRIM4,0.5877411385019425,0.00010699880505055692,0.0006713099216737909,3.1730769340807785,Not Significant
TRIM41,0.16717988387364666,0.18883162404604675,0.24680416558203175,0.6076475145171458,Not Significant
TRIM44,-0.3016636679125434,0.18239146021479002,0.23974147106651716,0.6202568341453466,Not Significant
TRIM46,-0.9707829480976884,0.0002473843826772102,0.001223870741106027,2.912264447704105,Not Significant
TRIM47,1.1276115746851818,9.497058945789884e-05,0.0006178430410420431,3.2091218405539133,Up
TRIM5,0.4470000644046186,0.08066478133773008,0.11967498702172641,0.9219966109435105,Not Significant
TRIM56,0.6540470490890571,1.605476452126348e-05,0.0001781599615158119,3.749189889785605,Not Significant
TRIM62,0.1653564506325764,0.020489906919458043,0.038180404252957545,1.4181594776212594,Not Significant
TRIM65,0.38809156033085673,0.07379887253764263,0.11121651429626786,0.9538307205306431,Not Significant
TRIM67,-0.010129932245523054,0.9746817176577252,0.9797645580974661,0.00887827471954696,Not Significant
TRIM68,0.32652519510839095,0.11850773711104527,0.16586621427845505,0.7802420675423578,Not Significant
TRIM9,-0.048166605880896385,0.6722055092746595,0.7232775631631104,0.1406950069692306,Not Significant
TRIO,-0.9620774236777834,0.001059060289507957,0.0036478353916241974,2.4379647674165983,Not Significant
TRIOBP,0.6424717224845864,0.0028447317505758936,0.007752448623367751,2.1105611032153466,Not Significant
TRIP10,0.5851077372403428,0.0028556743009050456,0.0077711670060446065,2.109513757746268,Not Significant
TRIP11,0.36081077065836725,0.0010302874059490976,0.0035807217390731744,2.446029427069777,Not Significant
TRIP12,0.1064719668661743,0.32118662734856407,0.3880259521902511,0.41113922668389186,Not Significant
TRIP13,0.5855255020807254,0.044808603496394726,0.07350870824176087,1.1336612089794744,Not Significant
TRIP4,-0.2129140218063259,0.11549610875197748,0.16230579127843034,0.7896659837141651,Not Significant
TRIP6,0.44197195090519925,0.13389600683577493,0.1837231129915082,0.7358362045366068,Not Significant
TRIQK,-0.7600604958786391,0.050278572324048275,0.08083868695103776,1.0923807492704147,Not Significant
TRIR,1.096476695831657,0.001819378647655991,0.005503737227315734,2.259342309411179,Up
TRIT1,0.024521414985815858,0.9139405639825043,0.9324869598736789,0.030357232757347235,Not Significant
TRMT1,0.008770208810629097,0.948299209588261,0.9585347826364548,0.01839212312707795,Not Significant
TRMT10A,0.7149323350087894,0.001379282052286115,0.004450386510305694,2.3516022694677043,Not Significant
TRMT10C,-0.26010759223209573,0.1772993938258138,0.23381596228720333,0.631125843488057,Not Significant
TRMT11,0.4818056797786905,0.013729178311313468,0.027503275027417607,1.5606155882916102,Not Significant
TRMT112,0.675960517524178,2.8361566456776862e-05,0.00026184796975665725,3.5819507890601807,Not Significant
TRMT13,0.29828781411943484,0.16824837579160093,0.22366505027008607,0.6504018731258661,Not Significant
TRMT1L,0.3739841934919792,0.059208892631165785,0.09267749825530897,1.0330256981079875,Not Significant
TRMT2A,0.38021335566591924,0.0013074542259751785,0.0042917978676050555,2.367360740352621,Not Significant
TRMT2B,-0.0012463234049654714,0.9969480267996501,0.9974433306647391,0.0011117692038414735,Not Significant
TRMT44,0.463207788456532,0.006460785500045334,0.014803063233539927,1.8296484057018072,Not Significant
TRMT5,1.0823556727149124,2.3717229386412788e-05,0.00023158784304237403,3.6352842421733897,Up
TRMT6,0.13601920201638865,0.5727380412376042,0.6323995195971382,0.19900846865189561,Not Significant
TRMT61A,0.17241820601960925,0.5377879632009859,0.6004327908354673,0.22153559809093923,Not Significant
TRMT61B,-0.0948706360295927,0.6653344436189353,0.7175598833494559,0.14414184940511987,Not Significant
TRMU,-0.485938095221312,0.008089534080447703,0.0176824780015498,1.752456873543068,Not Significant
TRNAU1AP,0.5871105527254814,0.0021517630845921017,0.006247750972743855,2.204276289200945,Not Significant
TRNT1,0.03786989613225877,0.6833308699142174,0.7332774252512463,0.1347316850299279,Not Significant
TROVE2,1.2632905818199311,0.0010122863506420617,0.003532312646273289,2.451940863831132,Up
TRPC4AP,-0.13709079570294921,0.1847838043144451,0.2423046887262609,0.615638181948996,Not Significant
