Gene Symbol,GSM97800,GSM97803,GSM97804,GSM97805,GSM97807,GSM97809,GSM97811,GSM97812,GSM97816,GSM97817,GSM97820,GSM97825,GSM97827,GSM97828,GSM97833,GSM97834,GSM97840,GSM97846,GSM97848,GSM97849,GSM97850,GSM97853,GSM97855
AAAS,6.330916878114617,8.08214904135387,7.8875252707415875,6.053111336459563,7.877744249949002,8.033973543441055,7.622783966156123,6.592457037268081,8.918565128989437,8.109569509370688,8.384999544730041,7.508587112089476,6.941341105485299,9.141596278383817,7.7073591320808825,6.756222712847288,8.095397022792557,7.529820946528695,4.590961241342599,6.47735352663456,6.793115555274348,6.0895828931247085,8.050392859979898
AACS,10.992230264965889,10.747857300095939,10.534497433738169,10.546315722817274,11.370523950224431,10.95804514548703,10.856192063936795,11.194018084222154,9.527477006060396,11.289845989727601,11.005624549193879,11.130055682342828,11.511604424059467,9.051480865341334,11.004852472722618,11.547906691460833,10.505712328014889,11.209697043535261,11.056095756038124,11.124315209422504,10.884933647949762,11.210975677726395,10.604831178225622
AACSP1,5.560714954474479,6.151777654732053,6.24412594328373,6.9920886090139955,5.741466986401147,6.139551352398794,5.862947248020921,5.584962500721156,2.963474123974886,5.28909670241999,5.807354922057604,6.074676686294496,5.3750394313469245,3.232660756790275,6.4822029262959555,4.53605290024021,5.459431618637297,5.892391025913404,5.791814071161826,4.71699089440494,5.5109619192773796,6.444600813711502,4.270528942380718
AADAC,4.727920454563199,5.095924419998536,5.812498225333564,5.008988783227255,4.153805336079036,4.112700132749362,3.9068905956085187,4.095924419998536,6.0,4.921245888585589,5.112700132749362,4.4329594072761065,4.364572432295856,3.9818526532897405,3.9541963103868754,5.035623909730721,4.683696454306515,6.221103725367875,5.614709844115208,5.9354597478052895,4.700439718141092,4.026800059343715,4.426264754702098
AADACL2,5.350497247084133,5.346956889378885,5.5668151540108965,5.354028938054387,4.5109619192773796,2.0,2.350497247084133,2.263034405833794,2.035623909730721,5.825276830054866,5.765534746362977,3.84799690655495,3.169925001442312,5.270528942380718,2.070389327891398,5.3750394313469245,5.074676686294496,4.590961241342599,4.459431618637297,4.087462841250339,4.738767836800192,5.963474123974886,4.529820946528695
AADACP1,5.8529975876133165,4.087462841250339,6.559185865787734,4.24031432933371,5.689299160535892,1.632268215499513,4.842978831788326,3.560714954474479,3.1210154009613658,4.270528942380718,4.902073579310743,3.5109619192773796,3.4195388915137843,5.82273014794452,3.689299160535892,3.867896463992655,4.776103988073165,3.807354922057604,2.700439718141092,1.84799690655495,6.159871336778389,2.9068905956085187,3.7441610955704103
AADAT,8.574782720838753,8.670302170078525,9.337398902526743,8.884475819086484,9.281002696027876,9.205548911173034,9.268892836043161,9.609548138999429,9.39231742277876,9.323730337521347,8.714588975599154,8.783653086390073,9.022090344993963,8.852373449580268,9.4110872267986,9.153805336079035,8.98042523154384,9.351380980674334,9.483211169429373,9.573647187493322,9.170175447591868,8.661778097771988,8.758889432720965
AAED1,8.029011086659068,7.723148957047578,7.497452695977237,7.252665432450248,8.096978636370537,8.248402006143435,7.91528186586766,8.428360172704291,7.153805336079036,6.648177795724818,5.94251450533924,7.977279923499917,8.452035273546196,7.39746072605472,7.931919390100041,8.095397022792557,8.630449157080621,7.9847032668251385,7.377644358399907,8.243650041896966,6.876516946564999,8.209940680290192,7.672425341971495
AAGAB,9.260449140753328,9.309931032395417,9.479578191749074,8.510170751151772,10.139551352398794,9.687550651000702,9.847683787716848,9.84454885592944,8.981281854057412,9.921394673718591,9.771324391974142,10.226291762466841,10.01527565482719,8.934575472545678,9.713214652998547,9.990671283975267,9.218684313362168,10.077883864438322,9.632813486072639,9.7476894960782,8.921543443508968,9.577051109735152,9.37851162325373
AAK1,12.0534168447575,11.25679838607939,11.465719440720745,11.80191040289703,11.837115409479251,11.620311480476602,11.542451531298877,11.813059663299578,11.651814108334404,11.748905633238675,11.343629894959053,11.3409627642517,11.80908479655228,11.209026830230568,11.18803242928049,11.598285174146604,11.330580807520818,11.77783063438297,11.76983784362944,11.513135397117733,11.434002646197037,11.491702807768583,11.33343491528405
AAMDC,8.872520984591661,8.738767836800191,9.499646606049545,8.903580625348638,8.564911610997058,8.514911264861354,8.472081550133609,8.450798854352486,8.948367231584678,9.003658450323208,8.366322214245816,8.526694845541975,8.175424798589686,9.401306206006016,8.981567281903015,8.719388820942083,8.64457735701838,8.63117705570398,8.432124272641563,8.449973985810354,8.987548258953744,8.370251481425177,8.483815777264256
AAMP,9.80928581019891,9.831782257264353,9.884781054471286,9.619486376055548,10.18957750090512,10.003517912108602,9.988684686772165,10.133655992691248,10.11907080565295,9.66906220864346,10.006326078524934,10.052432197417275,10.013880937935031,10.127349541059118,9.959132576789656,9.972979786066292,9.653740778706569,9.938256382438814,9.75905593916017,9.743319726770165,9.735556023911535,9.924218679748503,9.91004304427544
AANAT,3.807354922057604,4.24031432933371,3.9726926540042644,4.095924419998536,3.017921907997262,3.9068905956085187,2.8278190246173196,3.2172307162206693,3.017921907997262,3.7441610955704103,3.017921907997262,3.4059923596758366,3.733354340613827,2.608809242675524,3.1858665453113337,3.8379432418910273,3.678071905112638,4.035623909730721,3.548436624696042,4.270528942380718,3.807354922057604,3.817623257511431,2.608809242675524
