gene_name,log2FC,pvalue,adjustedpvalue,-log(adjustedp),category
ELFN2,-1.4405152492470812,0.0470589626184135,0.07524952212982501,1.1234962537014153,Not Significant
ELL,0.22731229926552743,0.08019493070289113,0.11845922751788925,0.926431103754943,Not Significant
ELMO1,-0.4646758127620316,0.06623675666602381,0.10040160798277518,0.9982593316884685,Not Significant
ELMO2,0.23553757053817392,0.16525913586312108,0.2199234524022565,0.6577284554696051,Not Significant
ELMOD1,-1.3291471221939481,0.05787195638714028,0.08969262902216171,1.0472432459919698,Not Significant
ELMOD2,0.4198203020429183,0.07469995608395105,0.11125478379505069,0.9536813059099427,Not Significant
ELMSAN1,0.4822823281606823,0.00933492748060091,0.019337869512558822,1.713591374612185,Not Significant
ELN,3.483811207850035,0.002115746881036727,0.005873252708615042,2.2311213123537224,Up
ELOF1,0.4674753667529501,0.0011749470354686401,0.0037104753715708717,2.43057044671254,Not Significant
ELOVL1,0.70081960261275,0.0065171082709541955,0.014426136831815548,1.8408499528460347,Not Significant
ELOVL2,-1.648730134350318,0.1387970288588162,0.18977215916445636,0.7217675011190986,Not Significant
ELOVL5,0.4909866583631164,0.004908546517904977,0.011507725767133986,1.9390104960378398,Not Significant
ELP2,0.061571808712191256,0.6105567113482079,0.6688504034495266,0.17467100662887416,Not Significant
ELP3,0.02475337598720273,0.829995878499615,0.8636895444690756,0.0636423377912451,Not Significant
ELP4,0.31213587404765875,0.1687898115013287,0.22397109603060925,0.6498080247210261,Not Significant
ELP5,0.3135220515805699,0.08480747086043174,0.12421495513928311,0.905826113149254,Not Significant
ELP6,0.3366690786131379,0.0832443433562914,0.12219197362250904,0.9129573204922949,Not Significant
EMB,0.03567753086058545,0.9259541291316212,0.9434884260419515,0.02526342304218146,Not Significant
EMC1,-0.0147746959152677,0.9257836754841289,0.9434845469728997,0.025265208609127243,Not Significant
EMC10,1.1468598671091499,0.00019452021042205313,0.0009394039308685346,3.027147626874782,Up
EMC2,-0.1397792128752613,0.3527761009646565,0.4208747561721873,0.3758471222061223,Not Significant
EMC3,-0.19599301373889233,0.27493092753747783,0.3410484132511454,0.46718396671009393,Not Significant
EMC4,0.11095700158621113,0.5546808516806295,0.6168291091545052,0.2098351394206647,Not Significant
EMC6,0.7400253008524871,0.0025583425260831474,0.006854452821213199,2.164027208447412,Not Significant
EMC7,0.11702044391711297,0.405033327091848,0.4726952892867559,0.3254187256999669,Not Significant
EMC8,1.0974444330493132,1.4921493009079445e-08,1.75024528726909e-06,5.756901083060838,Up
EMC9,0.2629655427917932,0.2994773463073054,0.3666222854174012,0.43578113964755344,Not Significant
EMCN,-0.31664160255964546,0.4811106997533223,0.5472797187573362,0.26179064576390504,Not Significant
EMD,0.276152743302454,0.09898191129599256,0.1420028160632055,0.8477030430212811,Not Significant
EMG1,1.0995653329721797,3.123545988961238e-08,2.666661211253857e-06,5.574032156199507,Up
EMILIN1,2.314713142710037,0.00013334799847814426,0.0007040606586314599,3.15238992242882,Up
EMILIN2,1.3296386281484143,0.0612920584622047,0.09412442026650154,1.0262976857005097,Not Significant
EMILIN3,-0.9611534226161957,0.5170898399598934,0.5814446978185027,0.23549158544867882,Not Significant
EML1,0.048862407153681175,0.836570002772872,0.8688180030662994,0.061071188501839256,Not Significant
EML2,-1.8110449271303235,0.0008554265486806323,0.0028821294486316693,2.5402865170807067,Down
EML3,1.7511697087895328,1.7102731822481865e-06,3.4658872530726516e-05,4.46018556919418,Up
EML4,1.4890538157386963,1.6791815437468233e-05,0.00016281111522334455,3.788315948860951,Up
EML6,-0.9613003657793691,0.010372696090280291,0.02105047147733353,1.6767381726211288,Not Significant
EMP3,0.5715371879566433,0.47442205587075137,0.5404191381383219,0.26726927948588025,Not Significant
ENAH,1.4649089572821445,0.0005494318646168369,0.0020492323599222563,2.6884087946926774,Up
ENC1,-3.7495399872112856,4.247035068674213e-05,0.0003122965786994454,3.505432773567082,Down
ENDOD1,-0.5019552144527424,0.004062780236417607,0.009912887787175263,2.0037998099607264,Not Significant
ENDOG,0.018010427375919846,0.9182196438425383,0.9367235131209853,0.02838857821070973,Not Significant
ENG,0.7088683459045875,0.07079162631631622,0.10637751245682721,0.9731501694854947,Not Significant
ENGASE,0.5382095391255071,0.013495268204856026,0.026144486903022998,1.5826198769696247,Not Significant
ENKD1,1.351201402976967,5.538061837626813e-07,1.5832013547270842e-05,4.800463847180737,Up
ENO1,0.3466276983578318,0.13165810215743087,0.18141481618574185,0.7413272469068699,Not Significant
ENO2,-1.9459464371925748,0.0006909314263010824,0.00244054810257963,2.612512628089811,Down
ENO3,1.7810454791614827,0.00015879422268494681,0.0008038658288081177,3.094816432185413,Up
ENOPH1,-0.15098094334172885,0.5323634438212275,0.5952307805832459,0.2253146186385746,Not Significant
ENOSF1,0.4615916751148035,0.43942157188134373,0.5057389369510632,0.2960736086533643,Not Significant
ENPEP,1.3127163334100587,0.047857221802448786,0.0762838057654856,1.1175676483250379,Not Significant
ENPP1,0.6855064307375525,0.15498038907345082,0.2080864240338456,0.6817562530873418,Not Significant
ENPP2,-2.05393557106704,0.005518787592067694,0.01261830826202677,1.898998867097898,Down
ENPP4,-0.6866239245630048,0.33085135020042433,0.39901789799103016,0.39900762355032043,Not Significant
ENPP5,-2.180582990568217,0.06326110540933773,0.09664057581620772,1.0148404910464472,Not Significant
ENPP6,-1.7468253934078497,0.10012963915123343,0.1433431838581108,0.8436229534547837,Not Significant
ENSA,-0.8844972657066528,2.2076807014903908e-05,0.0001980425234800908,3.703241548476201,Not Significant
ENTPD1,1.76162046637433,2.933102146224293e-06,5.070333625934521e-05,4.294963463322411,Up
ENTPD2,-2.9095081686743196,0.0006887689983404252,0.0024367597599004053,2.613187285789673,Down
ENTPD3,-4.858037276590755,8.8351975716789e-06,0.00010508356592336864,3.9784651982140473,Down
ENTPD5,0.15629269316121608,0.22076802784779437,0.2825398842400875,0.5489202371091528,Not Significant
ENTPD6,-0.8547219742716194,6.440712727121683e-06,8.481534642225337e-05,4.071525559730346,Not Significant
ENY2,0.15768251525325994,0.3477322787099605,0.41608920010976863,0.3808135564819928,Not Significant
EOGT,0.037512643517251476,0.9028288825677022,0.9235477419767498,0.034540649177574594,Not Significant
EP300,0.08803448661819857,0.6341006822625765,0.6897667933390774,0.16129771721237085,Not Significant
EP400,0.17262166021323821,0.491647556613983,0.5568136577098668,0.2542901207479155,Not Significant
EPB41,0.4360757851403356,0.11842509286309051,0.16539780750073116,0.7814702517160301,Not Significant
EPB41L1,-3.4170168058275365,7.894320927321612e-07,2.0235976850340436e-05,4.693875826089679,Down
