gene,log2FC,pvalue,adjustedpvalue,-log(adjustedp),category
JPH2,-0.014882786932219269,0.9571683946563031,0.9628107672958502,0.016459061572095493,Not Significant
JPH3,-1.9371353756992384,6.5318983950871615e-22,3.382613452460809e-20,19.470747628299772,Down
JPH4,-1.8877959193670357,7.315076472304301e-11,3.152903975164201e-10,9.501289255922366,Down
JPT1,-0.14195389780539092,0.3158801395641249,0.3550368613241525,0.4497265544417938,Not Significant
JPT2,0.4086366771290199,0.0104614548016173,0.01477921865228481,1.8303485256144663,Not Significant
JTB,0.4403737412643271,1.0016999378711945e-07,2.818025581973314e-07,6.550055068693157,Not Significant
JUN,0.3698176461040473,0.1022214181789246,0.12491462101719021,0.9033867253131865,Not Significant
JUNB,0.6865976374280309,8.018043825397311e-06,1.7482157138366277e-05,4.757404980426532,Not Significant
JUND,0.06542063656947317,0.594668576640021,0.6326558886187632,0.19883244529003533,Not Significant
JUP,-0.5068110502234368,0.0027556986548541522,0.004225079878977297,2.374165075904555,Not Significant
KALRN,-1.5829686796577993,8.680427721898226e-22,4.144705144827461e-20,19.38250635981315,Down
KANK1,0.7787406095172034,6.812269913427631e-08,1.962604968969505e-07,6.707167105932981,Not Significant
KANK2,0.3281491416647284,0.008306303636655618,0.011951937317382961,1.9225616932048877,Not Significant
KANK3,-0.6791101836939812,7.265065697121288e-09,2.3720849699289678e-08,7.6248697582629426,Not Significant
KANSL1,-0.06196511885454767,0.7863874976504073,0.8114907765483385,0.09071641202619676,Not Significant
KANSL2,0.6038729124998768,0.0028738615506412437,0.004389438720561219,2.3575910096319763,Not Significant
KANSL3,0.42789112133265783,0.002289395279952824,0.0035461778971769263,2.4502394814185893,Not Significant
KARS,0.14911277393832562,0.01692837173652722,0.02319739618292678,1.6345607602319308,Not Significant
KAT14,0.22002343441613062,0.0584277505300239,0.07404120468310431,1.1305265236985989,Not Significant
KAT2B,0.6217602394045987,9.115591028581409e-07,2.264539069606298e-06,5.645020182126948,Not Significant
KAT5,-0.10900994722277611,0.4650284696142377,0.5059560301259121,0.29588722368079645,Not Significant
KAT6A,0.26239823583195987,0.02360669490028944,0.03171016740445384,1.4988014652375394,Not Significant
KAT7,0.42116935751775497,0.00914663897071606,0.013049255077601902,1.8844142795073693,Not Significant
KAT8,0.27909229058698076,0.0010138898155839906,0.0016515773224434675,2.782101088987745,Not Significant
KATNA1,0.589474085360369,4.4675340176434806e-05,8.788992929436966e-05,4.056060884908572,Not Significant
KATNAL1,-1.0851617091486707,4.23215710111805e-17,4.671529508540592e-16,15.330540903509926,Down
KATNB1,-1.0697070919113765,1.5796788253903348e-20,4.349967432139682e-19,18.36151399456145,Down
KATNBL1,-0.3291301976629449,0.09750705140798845,0.11961707697180338,0.922206814451304,Not Significant
KAZN,-0.7319335645475458,2.2513980006867693e-09,7.8878498112247e-09,8.103041367181618,Not Significant
