ID_REF,log2_fc,p_value,minus_log_p,Significant
200017_at,0.013659364802652618,0.9269201122468734,0.03295769444818801,No
200018_at,-0.05830225814318801,0.6752032409053708,0.1705654818090291,No
200019_s_at,-0.0490607294108667,0.7300867375378073,0.13662554070653687,No
200020_at,-0.002294908773713189,0.9876253142531853,0.005407787007038563,No
200021_at,-0.08604206112668855,0.49124967715975465,0.3086977220267625,No
200022_at,0.009542847552063805,0.9492148237057401,0.022635488108159803,No
200023_s_at,0.01549950945785028,0.9131927243143378,0.03943755732495019,No
200024_at,0.23030487015921786,0.12883287608095878,0.88997329785628,No
200025_s_at,0.0027710471687321103,0.9841182212714364,0.006952727013964286,No
200026_at,-0.1185257160457045,0.4637812222096994,0.33368683925948295,No
200027_at,-0.06223016020539873,0.66653549415438,0.17617671871082047,No
200028_s_at,-0.11575145708725287,0.37399004603919017,0.42713995664385457,No
200029_at,-0.0703672948420806,0.6769830899244651,0.1694221792383614,No
200030_s_at,0.06147525569727996,0.6567987478085577,0.18256768387331732,No
200031_s_at,-0.023162298231802936,0.8761745101291667,0.05740938556924819,No
200032_s_at,-0.047169643017072715,0.7398928452557625,0.13083117227416136,No
200033_at,-0.01753522493363313,0.8911531647799107,0.050047646241411614,No
200034_s_at,-0.07896650350332379,0.5245590189843456,0.28020564154621497,No
200035_at,-0.005601418182026308,0.9700989324057677,0.013183973355437823,No
200036_s_at,0.1336422955623675,0.39017281521508207,0.40874299279225146,No
200037_s_at,-0.024775171380554184,0.8783489049294586,0.05633293581816397,No
200038_s_at,0.04759447765100688,0.7505693091645634,0.12460919789386692,No
200039_s_at,0.16215665909648713,0.25315900942912306,0.5966066123192932,No
200040_at,-0.04454934859304949,0.7549443910053145,0.12208503720389843,No
200041_s_at,-0.13427860392447144,0.37272941806764837,0.4286063287373038,No
200042_at,0.23768036264933912,0.08539135757460904,1.0685860818588762,No
200043_at,0.005391145138077036,0.9710361596551882,0.01276459743873171,No
200044_at,0.02939896062632208,0.8284131067677964,0.08175303851844534,No
200045_at,0.05617054044369141,0.7205566632149745,0.1423318614093519,No
200046_at,0.28723609838387,0.04392203640227138,1.3573175324521596,No
200047_s_at,0.03390617432138221,0.7859421558792299,0.10460941618309297,No
200048_s_at,0.1920922713854729,0.15547172784504756,0.8083485748507898,No
200049_at,0.08564272158341524,0.5689441928663598,0.24493033100181727,No
200050_at,-0.12048551860934253,0.4648523942673082,0.3326849278234561,No
