Gene Symbol,log2FC,p-value,adj p-value,adj -log10 p-value,-log10 p-value,Primary Mean,Recurrent Mean
LMCD1,-0.11952043252426314,0.23029884509552356,0.9995493194207042,0.00019577216392039268,0.6377082397451445,7.500549404565932,7.43092011642752
LMCD1,-0.11952043252426314,0.23029884509552356,0.9995493194207042,0.00019577216392039268,0.6377082397451445,7.86118309111579,7.842223526992209
LMF1,-0.1194067668272023,0.6651848996167579,0.9995493194207042,0.00019577216392039268,0.17705761820796412,6.84377227818686,6.897324474592033
LMF1,-0.1194067668272023,0.6651848996167579,0.9995493194207042,0.00019577216392039268,0.17705761820796412,7.179628435541442,7.017129946265863
LMF1,-0.1194067668272023,0.6651848996167579,0.9995493194207042,0.00019577216392039268,0.17705761820796412,10.84262644299958,10.503080447026752
LMF1,-0.1194067668272023,0.6651848996167579,0.9995493194207042,0.00019577216392039268,0.17705761820796412,8.88238554161186,8.900234764251758
LMF1,-0.1194067668272023,0.6651848996167579,0.9995493194207042,0.00019577216392039268,0.17705761820796412,7.844682548633946,7.719733400540532
LMNA,0.049498199344379046,0.8157700196824476,0.9995493194207042,0.00019577216392039268,0.08843225940418857,9.495417128246455,9.922610616073774
LMNA,0.049498199344379046,0.8157700196824476,0.9995493194207042,0.00019577216392039268,0.08843225940418857,8.869018499852867,9.054949081781468
LMNA,0.049498199344379046,0.8157700196824476,0.9995493194207042,0.00019577216392039268,0.08843225940418857,7.600677841239265,7.551943141528054
LMNA,0.049498199344379046,0.8157700196824476,0.9995493194207042,0.00019577216392039268,0.08843225940418857,8.62904678436402,8.65836377142059
LMNA,0.049498199344379046,0.8157700196824476,0.9995493194207042,0.00019577216392039268,0.08843225940418857,6.9097233061092345,6.860293115522677
LMO2,-0.049600003518895264,0.8897761314146808,0.9995493194207042,0.00019577216392039268,0.05071924849862729,10.705698338891198,10.544942255380837
LMO2,-0.049600003518895264,0.8897761314146808,0.9995493194207042,0.00019577216392039268,0.05071924849862729,6.965637761673086,7.027193838145663
LMO3,-0.6721298126382376,0.04436072733382073,0.8280950936241622,0.08191978844661268,1.3530013408388373,10.344101751221151,9.669590332110527
LMO3,-0.6721298126382376,0.04436072733382073,0.8280950936241622,0.08191978844661268,1.3530013408388373,7.866337211528187,7.1965890053623385
LMO4,0.1925982062652416,0.14416164113410967,0.9995493194207042,0.00019577216392039268,0.8411502820332978,7.855942648353205,7.9113893719819
LMO4,0.1925982062652416,0.14416164113410967,0.9995493194207042,0.00019577216392039268,0.8411502820332978,10.736137272724708,11.125575770973285
LMO4,0.1925982062652416,0.14416164113410967,0.9995493194207042,0.00019577216392039268,0.8411502820332978,7.613352934591628,7.998927306284963
LMO4,0.1925982062652416,0.14416164113410967,0.9995493194207042,0.00019577216392039268,0.8411502820332978,8.828510526734224,8.967259043215801
LMO4,0.1925982062652416,0.14416164113410967,0.9995493194207042,0.00019577216392039268,0.8411502820332978,9.209354482546042,9.173292999146675
LMO7,-0.09281978548584213,0.6632525079214129,0.9995493194207042,0.00019577216392039268,0.17832109910243574,5.115721838044336,5.0442951127017945
LMO7,-0.09281978548584213,0.6632525079214129,0.9995493194207042,0.00019577216392039268,0.17832109910243574,6.861936607641494,6.827795973546048
LMO7,-0.09281978548584213,0.6632525079214129,0.9995493194207042,0.00019577216392039268,0.17832109910243574,7.357522019997358,7.163236962834535
LMTK2,0.07551326271433645,0.5890753963908844,0.9995493194207042,0.00019577216392039268,0.22982911576575737,5.926633697550504,6.108997769502792
LMTK2,0.07551326271433645,0.5890753963908844,0.9995493194207042,0.00019577216392039268,0.22982911576575737,8.949099348491059,8.978087260747952
LMTK2,0.07551326271433645,0.5890753963908844,0.9995493194207042,0.00019577216392039268,0.22982911576575737,4.326403990519183,4.234740985215065
LNPEP,-0.04066428395890931,0.8606518332393303,0.9995493194207042,0.00019577216392039268,0.06517250178661686,6.073250633258005,6.042460319934558
LNPEP,-0.04066428395890931,0.8606518332393303,0.9995493194207042,0.00019577216392039268,0.06517250178661686,10.92738652378883,10.704405602958767
LNPEP,-0.04066428395890931,0.8606518332393303,0.9995493194207042,0.00019577216392039268,0.06517250178661686,10.088639869592006,10.07023314820446
LNPEP,-0.04066428395890931,0.8606518332393303,0.9995493194207042,0.00019577216392039268,0.06517250178661686,7.6628069733575375,7.663197449209119
LNPEP,-0.04066428395890931,0.8606518332393303,0.9995493194207042,0.00019577216392039268,0.06517250178661686,4.785736742522605,4.824580890511174
