gene_name,Unnamed: 0.1,Unnamed: 0,ensembl_id,baseMean,log2FC,SE,statistic,pvalue,FDR,-log(adjustedp),category
ATG7,10024,10024,ENSG00000197548,1997.3325902581469,0.7821716999959418,0.1077358742256209,7.260085887064083,3.8684461378513593e-13,1.73719278483721e-12,11.760151983081334,Not Significant
PRKCD,10594,10594,ENSG00000163932,531.7905459425388,-1.6495617877505704,0.2342223676040093,-7.042716733781041,1.8852725568843096e-12,8.01067345336241e-12,11.096330971458263,Down
VMP1,10867,10867,ENSG00000062716,8006.791622300037,1.9789484572859164,0.285518776115869,6.931062412801954,4.1769170511401306e-12,1.7302229363753914e-11,10.7618979351372,Up
SH3GLB1,11502,11502,ENSG00000097033,5301.996655125181,1.0506417460455026,0.1566943816615685,6.705037761434858,2.0135429135825964e-11,7.880351945281658e-11,10.103454386002763,Up
WIPI1,11667,11667,ENSG00000070540,653.4102112977736,1.0737124764367632,0.1614579000700728,6.650108021786308,2.9287798829823447e-11,1.1300200681520583e-10,9.946913843764094,Up
AKT2,12186,12186,ENSG00000105221,6591.167346364696,1.117584045677816,0.1726650065713633,6.47255670312046,9.635834161914664e-11,3.559494692173925e-10,9.448611650335154,Up
ULK2,12415,12415,ENSG00000083290,2288.841896835409,-1.202686575048573,0.1879028908002311,-6.400575158405671,1.5479273025913987e-10,5.612607863672856e-10,9.25083529959258,Down
WDR41,13011,13011,ENSG00000164253,2793.9586719901813,0.7063939713205281,0.113681213787548,6.2138144710582095,5.171358300321427e-10,1.789189819567862e-09,8.74734358161389,Not Significant
MAPK10,13068,13068,ENSG00000109339,8540.71113913845,-1.5086059531349485,0.2434385404517228,-6.197071138923154,5.752350624292842e-10,1.981521713635622e-09,8.703001164278334,Down
MTOR,13127,13127,ENSG00000198793,6722.512433526368,0.7248686523348221,0.1173363794076438,6.177697454056615,6.504320348624813e-10,2.230484443744216e-09,8.651600801348437,Not Significant
RAB8A,13582,13582,ENSG00000167461,577.206070204352,0.8010350887008028,0.1326085476698491,6.040599213069672,1.5354293736461803e-09,5.0889711383477425e-09,8.293370012182681,Not Significant
PRAP1,13848,13848,ENSG00000165828,8.901259307848882,-3.432086989860951,0.5758161711415044,-5.960386598829177,2.516418831190914e-09,8.180132815465649e-09,8.087239644916014,Down
PTEN,14000,14000,ENSG00000171862,3533.772687844401,-0.7764995809593334,0.1313656769666021,-5.910977653293315,3.400831729614905e-09,1.0935079182596486e-08,7.96117806782157,Not Significant
SUPT20H,14169,14169,ENSG00000102710,1951.5045099624165,0.8323677722322796,0.1419070589431355,5.865583984555856,4.475546569286585e-09,1.4219098871045365e-08,7.847127925950359,Not Significant
ATG10,15854,15854,ENSG00000152348,449.2014953613297,0.7170854759801832,0.1327008135161075,5.4037760355790265,6.525241153365642e-08,1.8527898548304505e-07,6.732173835976846,Not Significant
BCL2,16164,16164,ENSG00000171791,1940.4066443747768,0.9433166273772612,0.1772533943315848,5.321853671318785,1.0271518157645705e-07,2.860584447504187e-07,6.543545226872713,Not Significant
ATG5,16361,16361,ENSG00000057663,1220.6550858197363,-0.8713103368558475,0.1652716170106797,-5.271990149400813,1.34952322818451e-07,3.713127136636014e-07,6.4302601803741135,Not Significant
PIK3CD,16685,16685,ENSG00000171608,728.6941246029195,-0.9630479839040414,0.185532607025934,-5.190720916078246,2.094814134222045e-07,5.651830127564559e-07,6.247810899861346,Not Significant
BCL2L1,17453,17453,ENSG00000171552,2226.7739908191616,-0.869933038739869,0.1736417460192006,-5.009930265523105,5.444976177434034e-07,1.4044195171989388e-06,5.852503143780238,Not Significant
PIK3C3,17969,17969,ENSG00000078142,3846.488520039216,0.4591366440559871,0.0939207228672901,4.888555262769288,1.0157868418357328e-06,2.544780625075284e-06,5.594349650429663,Not Significant
PIK3R4,18588,18588,ENSG00000196455,2073.203276651669,0.4795535296949138,0.1012838636327602,4.734747594480611,2.193278764811068e-06,5.311701367100407e-06,5.274766349729302,Not Significant
AKT1,18830,18830,ENSG00000142208,4329.037561469389,0.6979202898445922,0.149167231400108,4.678777525692462,2.885903622618388e-06,6.899288151805917e-06,5.161195716174452,Not Significant
ATG16L1,18866,18866,ENSG00000085978,1714.5454374826693,-0.482190934755587,0.1032380986188968,-4.670668495509529,3.0022110595781743e-06,7.163647622364436e-06,5.144865785110345,Not Significant
WIPI2,18959,18959,ENSG00000157954,3716.012322847524,-0.5262900783211861,0.1130803167114231,-4.654126320359179,3.253573035592366e-06,7.725348338044974e-06,5.112081929006033,Not Significant
AKT3,19389,19389,ENSG00000117020,6098.290264982605,-0.6384825162985367,0.1405165138077216,-4.5438254835457705,5.524239862373114e-06,1.2825980111612956e-05,4.89190943784958,Not Significant
RRAGB,19528,19528,ENSG00000083750,1088.851126050493,-0.5794995807580032,0.1284483539989933,-4.511537615830753,6.435936671041677e-06,1.4836368118880908e-05,4.8286723995268135,Not Significant
NRAS,19642,19642,ENSG00000213281,2260.9134253498614,0.5889843064772615,0.1312723999053213,4.486733745266024,7.232336362844537e-06,1.657550021477871e-05,4.780533356604023,Not Significant
MAPK1,19707,19707,ENSG00000100030,12126.694265898896,-0.6547549487321873,0.1463479241858991,-4.473961297192584,7.678364594938779e-06,1.7539694322079807e-05,4.755977979692371,Not Significant
PIK3R3,20604,20604,ENSG00000117461,1620.9459250424816,-0.7617636187346057,0.1778599422253082,-4.282940887103314,1.8443918429384664e-05,4.029734354634643e-05,4.394723582176223,Not Significant
DEPTOR,20710,20710,ENSG00000155792,339.43725152386844,-1.3669997809774128,0.3209202498828944,-4.259624568646693,2.047705539250543e-05,4.451048026243069e-05,4.351537719709878,Down
ATG3,20802,20802,ENSG00000144848,1430.5323045080554,-0.6021335162072581,0.1420512859599108,-4.238845936088109,2.246717709723572e-05,4.86180468054439e-05,4.313202492606149,Not Significant
VAMP8,20820,20820,ENSG00000118640,254.09353740053723,1.2384380678092752,0.2923621121231525,4.235973186866308,2.275639333275541e-05,4.920369201514415e-05,4.308002308581297,Up
ATG4B,21389,21389,ENSG00000168397,2693.879048929284,-0.5593829434961154,0.1357916723062204,-4.119420094000057,3.7982711111081264e-05,7.993827446593339e-05,4.097245230581938,Not Significant
AMBRA1,21612,21612,ENSG00000110497,2326.531841691952,0.5536964692414263,0.1359985334255415,4.071341471815003,4.674316860336069e-05,9.736411915766876e-05,4.011601060809182,Not Significant
