gene_name,Unnamed: 0.1,Unnamed: 0,ensembl_id,baseMean,log2FC,SE,statistic,pvalue,FDR,-log(adjustedp),category
VDAC3,1094,1094,ENSG00000078668,3668.342470010171,-1.739669947186698,0.108452783664526,-16.040804932844978,6.628956918372742e-58,2.7253791005317117e-56,55.56457307877536,Not Significant
H2AC16,1175,1175,ENSG00000276903,679.3852604154143,9.260731186231748,0.5861175710401294,15.800125510309432,3.104977718252144e-56,1.1886308834863368e-54,53.924952989917074,Up
H2AC4,1218,1218,ENSG00000278463,716.1726173939336,9.47318279152936,0.6040883653041773,15.68178322182934,2.015164160936274e-55,7.442221112484833e-54,53.12829743099474,Up
PPID,1478,1478,ENSG00000171497,892.7485030517199,-1.522182928957716,0.1022084380355304,-14.892928198634287,3.663660528945914e-50,1.1151746676985538e-48,47.95265710456501,Not Significant
HSP90AB1,1772,1772,ENSG00000096384,31386.368576645407,-1.8322885880676507,0.1288796520637214,-14.21705101408654,7.181608922515955e-46,1.823512984110241e-44,43.73909113999629,Not Significant
SLC25A4,1956,1956,ENSG00000151729,3986.2586515368566,-2.3694433903758427,0.1714995821391512,-13.81603010818607,2.0401477553447398e-43,4.693173827177561e-42,41.32853335996054,Down
STAT4,2667,2667,ENSG00000138378,485.87300157278673,-5.067122612702288,0.4024541625278205,-12.590558340546451,2.379840317806318e-36,4.0156683383554205e-35,34.39624216358469,Down
VDAC1,2686,2686,ENSG00000213585,6504.924267068369,-1.5503499866701136,0.1234265331696789,-12.560913337319388,3.463118659450101e-36,5.80223814401876e-35,34.236404450212646,Not Significant
MAPK8,2736,2736,ENSG00000107643,1926.819327324068,-1.3425573530701982,0.1074447413754741,-12.495328630170237,7.91684691102809e-36,1.3021868143499215e-34,33.88532670653486,Not Significant
SPATA2,2960,2960,ENSG00000158480,1325.1637688384446,-2.047751821907894,0.1687096669661759,-12.137726656282483,6.665219403049987e-34,1.0133789675984714e-32,31.99422811361424,Down
CHMP5,2973,2973,ENSG00000086065,2080.738024026651,-1.7125204376675325,0.1413423270266444,-12.116118884505877,8.677183604297341e-34,1.3135108563613383e-32,31.881566333355003,Not Significant
CHMP1B,3018,3018,ENSG00000255112,1398.949403116579,-1.0074758188668531,0.0835196941915483,-12.062733569836317,1.6617431689564477e-33,2.4779733594981886e-32,31.60590336700157,Not Significant
DNM1L,3140,3140,ENSG00000087470,5655.333075393195,-1.1280125937132806,0.0947546849807807,-11.9045574785255,1.1205616599371172e-32,1.606067028612196e-31,30.794236333559866,Not Significant
STAT3,3729,3729,ENSG00000168610,9020.536532034195,1.4905545073906297,0.1327086910645186,11.231777628384345,2.846924606255548e-29,3.436077717131863e-28,27.46393702186646,Not Significant
PYGL,3746,3746,ENSG00000100504,2529.941652014764,2.924649768757424,0.2608332566540367,11.212718064693,3.531783160583756e-29,4.24332388861276e-28,27.372293817710453,Up
CAMK2G,3844,3844,ENSG00000148660,4973.17105833637,-2.7778923740762123,0.2500630914668332,-11.108766022932471,1.1372010016139535e-28,1.3314863951016532e-27,26.87566326674848,Down
CASP8,4037,4037,ENSG00000064012,500.386502870137,1.984851462978929,0.1819581692749006,10.908284419922,1.0522332004024192e-27,1.1731175445496908e-26,25.930658470073976,Not Significant
CAMK2B,4661,4661,ENSG00000058404,6613.2229186308205,-3.049243760253851,0.2950491346720827,-10.334698197446931,4.909550797353515e-25,4.7409495355224776e-24,23.32413466745277,Down
CYBB,4836,4836,ENSG00000165168,3023.4569936453654,2.9382430351516065,0.2890064629868224,10.166703556679902,2.7919800699724667e-24,2.5985559390136546e-23,22.5852679296999,Up
H2AC12,5433,5433,ENSG00000274997,1034.125027051267,12.87664353121188,1.320727179878183,9.749661949411504,1.8508355796591952e-22,1.5333597158755484e-21,20.814355950629,Up
CAMK2A,6001,6001,ENSG00000070808,21226.46512314178,-5.420601606666049,0.5797011102809172,-9.350683499707774,8.708313140716952e-21,6.531815216293511e-20,19.184966109862987,Down
