Gene,Degree,Betweenness,Closeness,PageRank
ATPAF2,21,0.0003857179627781642,0.41821946169772256,0.0023066094737919113
CFLAR,21,0.00025898780339263987,0.4,0.0045865928877651925
CTSS,20,0.0026285066865440907,0.39920948616600793,0.004827582819614751
CYBB,20,0.010270025688683768,0.4719626168224299,0.00467946547657631
TMEM126A,20,5.007530428864318e-05,0.43628509719222464,0.0020685871795947234
PYCARD,19,0.00027065563504852306,0.38996138996138996,0.004317230524033836
MAPK9,19,0.006626788858705866,0.42526315789473684,0.004411887993344187
CASP6,19,0.0006322137796223441,0.3937621832358674,0.0044069488643340305
COA4,18,0.000328296304894383,0.4080808080808081,0.0021706210614551454
COA7,18,0.000409821705869758,0.4353448275862069,0.002109020374591669
DMAC2L,18,0.00033960488755689514,0.43722943722943725,0.002032532070286542
CASP2,18,0.0003005039324589046,0.39223300970873787,0.004112299962719439
CTSB,18,0.002038819615235802,0.3953033268101761,0.004518528488454262
STAT5A,17,0.0022406119195261124,0.46867749419953597,0.003802896678980695
HMOX1,17,0.0019739111635539244,0.4786729857819905,0.0035653832770330945
MT-ATP8,17,0.0002546421374841971,0.42436974789915966,0.0019763239707670877
AIFM1,17,0.008065219288220278,0.4975369458128079,0.0024916902021327506
TNFAIP3,17,0.0004056926787371258,0.38257575757575757,0.003962177926243135
ATPAF1,16,0.0003563477825375429,0.4225941422594142,0.0019810400836204273
PRF1,15,0.000302815907982386,0.39223300970873787,0.003551745125936624
CASP4,14,0.0003744426780286938,0.39147286821705424,0.00336384322095487
GSDMD,14,7.514959901815884e-05,0.38549618320610685,0.00334288479231611
ULK1,14,0.014103265894305711,0.42616033755274263,0.004358734440513359
NGFR,13,0.0008737908414960765,0.42083333333333334,0.0032301552840505207
LMNA,12,0.0005744901460630133,0.38846153846153847,0.0031659847553497174
TMEM177,12,0.00016636288934292917,0.4105691056910569,0.0017492817269783197
AKT3,12,0.00016762220670329904,0.39223300970873787,0.003055095724685375
PIK3CB,11,0.002766885393490927,0.3761638733705773,0.003562220543108758
ITPR1,11,0.006752503453868102,0.41995841995842,0.0030338739660793275
UQCC3,11,2.1438280452614725e-05,0.404,0.001561430584247043
CMC1,10,2.846364565617139e-05,0.376865671641791,0.0015696818508622304
CMC2,10,3.691861345095073e-05,0.37969924812030076,0.0015777411229359532
STAT4,10,0.00020555852563811496,0.362657091561939,0.002694567382031356
PDPK1,10,0.00032668962880273516,0.3754646840148699,0.0028551861623128203
CAMK2A,10,0.00044954299018607857,0.37969924812030076,0.0028595632535414694
CAPN2,9,3.127114599455864e-05,0.3706422018348624,0.002434188723893669
ACTG1,9,0.00795428420145382,0.4622425629290618,0.002599409033112238
CAMK2G,8,0.0002472566968147046,0.3666061705989111,0.0024816696357910467
PRKCQ,8,0.00016737536665650267,0.3720073664825046,0.0023407760838574155
RB1CC1,8,0.0021274454345723377,0.3666061705989111,0.003313811411656928
DAPK1,8,1.3921407448819893e-05,0.3761638733705773,0.002204793931687355
PRKAA2,7,0.004080976715408738,0.40562248995983935,0.0024588724803332003
SDHAF2,7,0.00035458046640967337,0.4519015659955257,0.0014498892787530283
SMIM20,7,2.4676338594094605e-05,0.4089068825910931,0.0012778774297278804
CAMK2B,7,0.00012511896642463925,0.3476764199655766,0.0022629057234952285
PNKD,6,4.696593792196357e-05,0.39763779527559057,0.001250029969098733
CTSL,6,0.00043733621460132947,0.3747680890538033,0.0020357987205993815
CD14,6,9.121973557223051e-06,0.35376532399299476,0.0018704808983391564
VAMP8,5,0.0010915681553375594,0.33223684210526316,0.0026346907953064378
CTSZ,5,0.00041797436010434797,0.3377926421404682,0.0021395658954677915
LYRM2,5,0.0,0.39920948616600793,0.001126069804647893
ACP1,4,0.0005728557435656364,0.44395604395604393,0.0012295884644206263
SPTA1,4,2.818947027684477e-05,0.3713235294117647,0.0015284902354711163
PRNP,4,1.2930397517363678e-05,0.3720073664825046,0.0014968789749430483
TYMP,4,8.226978158743848e-05,0.45495495495495497,0.0011247143147090925
SPATA2,3,0.0,0.33554817275747506,0.001307309809137831
DUSP16,3,0.0,0.35130434782608694,0.0012970744147469005
PARP4,3,0.0,0.3607142857142857,0.0012967958250953908
RAB8A,3,0.010647691409217362,0.36727272727272725,0.002527685792835146
GLUD2,3,0.00020997399933686558,0.41140529531568226,0.0010710005385915294
DEPTOR,3,0.0,0.3344370860927152,0.0015448173054244821
CAMKK2,2,1.1550305828318294e-05,0.2988165680473373,0.001272019328075814
RRAS,2,0.0,0.30652503793626706,0.0012256850050300135
VMP1,2,0.0,0.300148588410104,0.0013557525733639008
MRAS,2,0.0,0.30652503793626706,0.0012256850050300135
CEP89,1,0.0,0.26897470039946736,0.0014551301194219478
MR1,1,0.0,0.3268608414239482,0.00082032885445051
