Gene,Degree,Betweenness,Closeness,PageRank
ACAD9,68,0.009074225556509758,0.4742063492063492,0.004842856469064644
NDUFAF3,67,0.0006411515691330697,0.4760956175298805,0.004408931394685511
NDUFAF5,67,0.0007161187656545559,0.4723320158102767,0.004434140865536104
SCO1,63,0.00472926905641468,0.4704724409448819,0.004642125628303139
TIMMDC1,63,0.0007800421434209051,0.4631782945736434,0.00421457501095182
ECSIT,62,0.003970777208806285,0.5063559322033898,0.004173976655951766
NDUFAF6,62,0.00042634951097393305,0.4649805447470817,0.004130433775119233
NDUFAF4,60,0.00026209082329643394,0.45610687022900764,0.003992403250643292
PRKACA,60,0.04485356207713366,0.5519630484988453,0.005827828748666716
COX14,60,0.002806861971024447,0.4613899613899614,0.004360160327560798
PRKACB,60,0.0361310751878771,0.5494252873563218,0.005598023404018793
COA3,59,0.004114439760890483,0.4578544061302682,0.004444498605203927
TMEM126B,59,0.00041969634960804857,0.4631782945736434,0.00396006409739221
COX11,58,0.003918638407908407,0.46954813359528486,0.004335863741427092
NFKB1,58,0.030004665421062615,0.5370786516853933,0.008137873282391989
TMEM186,57,0.001185553948737357,0.45179584120982985,0.003888488205493469
NDUFAF7,54,7.277902691598385e-05,0.44840525328330205,0.0036309886704962674
JUN,54,0.02262791574943797,0.5252747252747253,0.007969191386725017
CASP1,53,0.008869195719944975,0.4458955223880597,0.008157617337615719
MT-ATP6,52,0.009541801970147668,0.4649805447470817,0.004245729659467467
STAT3,51,0.015501009184137705,0.5173160173160173,0.007582153579653842
CASP8,51,0.009985113422262135,0.5106837606837606,0.00751600982447196
NFKBIA,50,0.007867405628370213,0.495850622406639,0.0073246585344518556
SCO2,46,0.011286098080781095,0.5063559322033898,0.0036220331322373597
TNFRSF1A,46,0.003582525009340174,0.43454545454545457,0.006912083218651494
PET100,44,0.0022111323226837215,0.43853211009174314,0.00352295698723394
STAT1,44,0.003889907501722519,0.43853211009174314,0.00669677349633847
COX7A2L,44,5.8806184411413974e-05,0.4417744916820702,0.003081900874415861
IKBKB,43,0.012474719512846089,0.4989561586638831,0.006583424134625135
RIPK3,42,0.009056980403550633,0.44095940959409596,0.006434432182711265
SQSTM1,42,0.03488448926310611,0.5031578947368421,0.007838494146364111
FADD,42,0.0022649387350191937,0.43454545454545457,0.006307445620382697
