gene_name,ensembl_id,baseMean,log2FC,SE,statistic,pvalue,FDR
RNU6-514P,ENSG00000206935,5.8804478938613665,5.22097755210312,1.2909531305746937,4.044281258901241,5.24838831542558e-05,0.00011066749628828064
AC093835.1,ENSG00000251298,8.71651927475658,1.9771104853578416,0.4889014126188894,4.043986035481242,5.25500505565732e-05,0.00011080180999595866
AP005205.3,ENSG00000279479,2.5099434359799755,-2.9451662234242506,0.728311827827911,-4.043825887337022,5.258597706856781e-05,0.00011087235114386365
E2F6,ENSG00000169016,792.0772484850793,0.5321517671065563,0.13159913943509985,4.043732879947859,5.2606852376532906e-05,0.00011090849793426716
Y_RNA,ENSG00000202310,6.73665937362836,5.424489169229776,1.3414576517239836,4.043727479774301,5.260806467502268e-05,0.00011090849793426716
AADACL2,ENSG00000197953,9.290784984414799,3.527439032296163,0.8723281701019049,4.043706432046198,5.261278998490595e-05,0.00011091324873914565
AC006960.2,ENSG00000237400,4.553476629336955,4.016629525856852,0.9933208531204089,4.043637575149107,5.262825147911972e-05,0.00011094063103070473
ATP5MC2,ENSG00000135390,4011.7219863110563,-0.5600868432597303,0.13851371024484993,-4.0435480521723655,5.2648359882892314e-05,0.00011097780599921364
SLC16A13,ENSG00000174327,63.524409844042836,1.061648108527631,0.2625615320190339,4.043425936632136,5.267580087743715e-05,0.00011103043316288436
LINC01721,ENSG00000230133,4.172331847748379,-2.7897157742736023,0.6900115542500516,-4.042998638342575,5.277192723801637e-05,0.00011122782409211482
AC011899.2,ENSG00000272839,6.389380348083752,5.34280116338799,1.3215871248143485,4.042715809703826,5.2835644652500995e-05,0.00011135689108512787
RNA5SP259,ENSG00000202411,5.811535459043896,5.206724222795627,1.2879719814394046,4.042575690953094,5.286723848382122e-05,0.00011141824517437143
TRIM7,ENSG00000146054,100.52621590858124,-1.5052475532282452,0.3723578853977568,-4.042475296636522,5.28898862980809e-05,0.00011146074056364775
NECTIN1-AS1,ENSG00000255247,5.036441230282194,4.585579589026522,1.1343543740945523,4.0424577131698864,5.289385387384632e-05,0.00011146386686579432
AC010997.2,ENSG00000236842,5.916077870519678,5.2361945573003315,1.295327368296706,4.042371593048079,5.291329029925794e-05,0.00011149958904001141
VWC2L-IT1,ENSG00000224257,6.308424001599816,2.7301507930070907,0.6754158451997252,4.0421775894223595,5.295709971927262e-05,0.00011158666454583149
AL160290.2,ENSG00000270902,6.658111632464521,5.404116889006127,1.337078666132662,4.04173443634164,5.3057300412977464e-05,0.00011179254915621299
RNU6-177P,ENSG00000223189,5.643876520610683,5.168641425200967,1.2788782231736446,4.041543073878095,5.3100624613434484e-05,0.00011187858041176779
LINC00163,ENSG00000234880,4.841302491779229,3.25109618514219,0.8044623959474452,4.041327725845101,5.3149419200591715e-05,0.00011197612869517093
AC008894.1,ENSG00000267373,5.717603895404528,5.182195077578474,1.2823840313210273,4.041063325032299,5.3209386506710506e-05,0.00011209720559381225
CD5L,ENSG00000073754,14.90998976743455,4.647735563462888,1.1501352255470807,4.0410340108069605,5.3216039052875225e-05,0.00011210595719913446
AL138760.1,ENSG00000235939,4.223344021549513,3.191622482787658,0.7898099773309135,4.04100046136849,5.3223653701951465e-05,0.000112116734672563
NASP,ENSG00000132780,6007.006543880323,0.6886749039452795,0.17043386467566213,4.040716352092566,5.328817882062572e-05,0.00011224738859545097
LINC00920,ENSG00000246898,45.444698241808254,1.6189127389656133,0.40066573694858176,4.04055697723255,5.332440748547811e-05,0.00011231842877908691
AP000892.2,ENSG00000252992,4.731265556179729,4.485789561493117,1.1102261296903764,4.040428739273259,5.335357513677894e-05,0.00011236404158276578
Y_RNA,ENSG00000222649,6.151029228245608,5.294909361016302,1.3104805903925139,4.040433257718358,5.335254716210609e-05,0.00011236404158276578
