Gene Symbol,log2FC,pval,p_adj,neg_log10_p
AC005592.3,0.006888050435193804,0.9491236225952872,0.9733546206673249,0.011728905116526182
AC005606.14,-0.09890258895516002,0.3575005277229111,0.5369949644630762,0.27002978677000306
AC005754.7,0.7500401016328722,0.028331736732391533,0.0945723855491715,1.0242356559274997
AC005838.2,0.16873104631111868,0.31973613203474704,0.500439682070986,0.3006482604870641
AC006026.13,0.20611605153945156,0.15361076680818178,0.30696200725982636,0.51291537389895
AC006129.2,-0.14984867041502126,0.4474755515513294,0.6209969739020552,0.20691051612107067
AC006538.1,0.14413081355244373,0.5750753322843797,0.7280005583495932,0.13786828759897612
AC007292.3,0.25100878349457467,0.24676289220980152,0.4208926434182563,0.37582866501172596
AC007362.3,0.2831337647801595,0.06521719671339948,0.16911986821294456,0.7718053684615145
AC007364.1,0.1442505450222562,0.32892021091620177,0.5089738862542181,0.2933044992872603
AC007365.3,0.0830457795979278,0.3376756704643498,0.517140801006023,0.2863911962199293
AC007389.3,-0.5431455917616042,0.0014759097580303228,0.011790663695484267,1.9284617478163744
AC007401.2,0.044545402712731,0.8581339014003028,0.9222448642510068,0.03515375457083476
AC007680.2,0.2987212841011777,0.1962131442175863,0.361552522104242,0.4418286045847168
AC007967.3,-0.2527298676476608,0.04905220182697105,0.13861446467961425,0.8581914479149628
AC008088.4,0.06184985261456166,0.584239788354143,0.7347138804952643,0.133881755220881
AC008746.12,0.09191804300652784,0.5060482990012426,0.6744987344729515,0.17101886083556023
AC008753.4,0.22393638073027677,0.15276371255750903,0.30569973121058064,0.51470494313133
AC009120.6,-0.06171009175729303,0.42370888776232307,0.59855100659942,0.222898834496024
AC009133.15,0.14928417836902508,0.39119239454608756,0.5681870705339204,0.24550865315384424
AC009237.8,0.023982699659184092,0.9094321882614481,0.9508796428683937,0.021874450198261678
AC009947.3,0.1248512108710349,0.6139502694045799,0.756292381856362,0.12131027423619051
AC010145.3,0.2949468158759796,0.1836713629595397,0.3459886141752433,0.4609381927743472
AC010145.4,-0.317135211596403,0.05089622863752811,0.14246393737746166,0.8462950569191867
AC010980.2,0.3793324416669579,0.09643295018797181,0.22233674566839073,0.6529887553747168
AC012065.7,-0.23245486357235645,0.26422447836620977,0.44096097392934125,0.3555998449020475
AC012499.1,0.3410953073846903,0.14346217865307861,0.2919990232814573,0.5346186012371396
AC013463.2,0.2590057981185909,0.2624270084515849,0.43905476722083686,0.3574813029508789
AC016831.7,0.26085620718678193,0.09798694157062736,0.22484824165107312,0.6481105043345187
AC016999.2,0.25569839383933246,0.1502831756452539,0.30195628628609433,0.5200559245887197
AC018462.2,0.1631811785226418,0.3717134506049474,0.5497970934680653,0.25979756040764185
AC018755.16,0.012631972574830286,0.917892991240749,0.9561843425790998,0.019458372109766732
AC018766.6,0.5582462676152877,0.024420616409201228,0.08543921264063419,1.068342762508911
AC018816.3,0.5172022530342906,0.0034874280611786475,0.021177222881486994,1.6741309925913144
AC024560.2,-0.40782276111560645,0.00735468840014453,0.0363297717028021,1.4397373312461432
AC025442.3,0.035533159916733226,0.7782615541399368,0.8712034060198683,0.05988043534968443
AC064852.4,-0.3862410169106498,0.2509728404585049,0.42575392616426844,0.3708413384243988
AC068039.4,0.49677461194635253,0.0023728024864126123,0.016295795140556294,1.7879244436228405
AC068831.3,-0.06511032345737,0.827433398376121,0.9027856839762013,0.044415336412435336
AC073283.7,-0.07990828974319619,0.7423032275068955,0.8487907897106077,0.07119934164154343
AC074212.6,0.42217379154793555,0.07531793969518487,0.18710839394521422,0.7279067290028397
AC078883.3,-0.01120806211449743,0.9294712429331505,0.9629351403439168,0.01640296431821209
AC078883.4,-0.01120806211449743,0.9294712429331505,0.9629351403439168,0.01640296431821209
AC079305.10,-0.5157753998096659,0.048131700988484946,0.1367392466032619,0.8641068172760233
AC079741.2,0.05855373034864364,0.70139339452596,0.8209271780900322,0.0856953660917021
AC079767.4,0.1306818259837108,0.2906522559214545,0.47046198803069766,0.32747546055853377
AC083843.1,-0.0918603655048722,0.5984044717876615,0.7448568290668448,0.12792719613974599
AC083949.1,0.5228718596551625,0.0036029821824701417,0.021653637237818588,1.6644691432072278
AC084219.3,-0.2875738745202119,0.2137442191879949,0.3827261923055014,0.41711181531795644
AC087501.1,0.003626436115228504,0.9920460841448698,0.9970100609631929,0.0013004591419540875
AC091133.1,-0.5528141579113788,0.0025168685594316813,0.016848746769366256,1.7734323969522905
AC091633.3,0.15468365601702416,0.5726460084313754,0.72612468847552,0.1389887968381685
AC092620.2,-0.4575865268530901,0.008183715493676616,0.03927468187124013,1.405887324101471
AC092660.1,-0.13028030465821772,0.5017998831255479,0.670683628083553,0.17348229500086274
AC099684.1,0.03797608916631212,0.8886327666756435,0.9389077718374417,0.027377066039805956
AC100830.4,-0.16680114932893897,0.41063225181583485,0.5865781428582343,0.23167412378456817
