gene_name,ensembl_id,baseMean,log2FC,SE,statistic,pvalue,FDR
HLA-DRA,ENSG00000204287,12099.417156498208,3.2496864315409346,0.4765786296229539,6.8187833644826465,9.18147301588256e-12,4.6429074150681977e-11
RN7SL127P,ENSG00000242175,61.244874320363984,8.726148481530887,1.2797327875946778,6.818726976537126,9.185076924041862e-12,4.64421842577545e-11
LRRC37A4P,ENSG00000214425,587.6325242281442,2.3296907795787347,0.34166963488799124,6.818547923764053,9.196529867766261e-12,4.649497391365127e-11
LINC02785,ENSG00000226822,26.950109314952005,5.564188340721753,0.8160443453838364,6.818487711111543,9.20038445675124e-12,4.650934110947531e-11
MID1,ENSG00000101871,2055.702850937699,2.1451321811803825,0.3146097451683311,6.818390765462892,9.206593880995021e-12,4.6535607882132346e-11
BX248409.1,ENSG00000225591,18.219935880287892,5.740508146753233,0.841957023778958,6.818053635312755,9.228219242523814e-12,4.663978162402994e-11
AC117383.1,ENSG00000249417,17.163044999921915,5.346989906700734,0.7842502180523581,6.817964195125999,9.23396477052288e-12,4.666368396909664e-11
SLC30A6P1,ENSG00000232277,27.767907961054494,6.352688571295131,0.9318196461386197,6.817508728883454,9.263277774753062e-12,4.680666578944051e-11
AC084871.1,ENSG00000251139,88.49848186911268,9.256145635897346,1.357735145917593,6.817342589774237,9.27399287164073e-12,4.6855652619497634e-11
MYO9B,ENSG00000099331,6300.510263279734,1.1169278210831073,0.16384083671740376,6.81715159334549,9.286326139681122e-12,4.6912803372969947e-11
FLOT2,ENSG00000132589,3346.272735871978,-1.1760682249984367,0.17252037875240972,-6.8169814691066435,9.297325152009448e-12,4.696320188157803e-11
CUL2,ENSG00000108094,1459.48149704666,-1.01815322947422,0.1493689239987721,-6.81636582909702,9.337234787107177e-12,4.715960829946642e-11
PDE3A,ENSG00000172572,699.8761885343297,2.084302712407813,0.3057886715494303,6.816154116654019,9.350998057983385e-12,4.722392849671781e-11
RSAD1,ENSG00000136444,1757.2036557959611,-0.8951097821274887,0.1313315959306314,-6.815646880589805,9.38405401105169e-12,4.738565474395257e-11
TOR2A,ENSG00000160404,351.4579110197777,-0.8341324158891305,0.12238732945885444,-6.815512844158908,9.392808107212406e-12,4.7424644430049574e-11
LINC00575,ENSG00000231782,28.309969879279684,4.674653903826814,0.6859063456053294,6.815294731967111,9.407070408019629e-12,4.748767331842608e-11
