gene_name,ensembl_id,baseMean,log2FC,SE,statistic,pvalue,FDR
LINC02229,ENSG00000250313,1.0992090764258329,2.9874742847915563,1.4399479059404443,2.0747099755948515,0.03801342228839672,0.05309236676701927
HEXA,ENSG00000213614,1512.8193884304196,0.20090341614045246,0.09684445968913563,2.074495709773582,0.038033296789845523,0.05311847701749878
RNU6-733P,ENSG00000222691,1.0793366160365911,2.5476474232156754,1.2281843822847407,2.074319996217825,0.0380496019205657,0.053139600709227464
VDAC1P3,ENSG00000234702,4.3956039775856,1.533398029586611,0.7392700906154609,2.074205421066093,0.03806023698717263,0.05315280459503427
MIR3133,ENSG00000263752,0.9720163307655003,2.806222611637747,1.3530598560545362,2.0739826099198377,0.03808092594659016,0.053180047932175525
BLK,ENSG00000136573,2.180090653673931,1.5562683550874923,0.750472800775745,2.07371719998222,0.038105582864536726,0.05321283066500958
CHMP2A,ENSG00000130724,2911.870368146341,-0.26265799644385796,0.12666464409775005,-2.0736488726969355,0.03811193275243487,0.05322004716591289
RPL7P19,ENSG00000241458,4.14847443250666,1.4904285392918855,0.7187694222520428,2.073583673916019,0.03811799273664591,0.05322685840605032
ARSA,ENSG00000100299,1093.221198904575,-0.4177176474881802,0.20145844111879088,-2.0734680818952187,0.03812873859913399,0.05324021224510446
AP001269.3,ENSG00000267661,1.4277048309170195,2.0011260422967343,0.9654401893159288,2.0727602439200816,0.03819459803879004,0.05333051948105852
OR10A4,ENSG00000170782,2.8521191706254223,2.1851777907937593,1.0542683106425077,2.0726960762597866,0.038200573175543526,0.05333720819371007
AC016582.1,ENSG00000225868,27.15569333173382,1.7084249882320475,0.8243338764870263,2.0724915437330513,0.03821962405221963,0.05336215281003832
AL831711.1,ENSG00000283317,28.180308370734522,0.7002623649380675,0.33793102737732095,2.0722050010405852,0.0382463272284025,0.05339777967112583
RPL36P20,ENSG00000234270,1.0349693577330508,2.900897110151863,1.3999815975998267,2.072096601216226,0.03825643324193941,0.053410232838766676
Y_RNA,ENSG00000202536,1.0580958881713745,2.9556016456250096,1.426549576708597,2.0718534384513396,0.038279111336188755,0.053440236711752465
YWHAQP9,ENSG00000230019,1.6687801862711682,3.602606389363794,1.738847257194674,2.071836024962865,0.038280735809190974,0.05344084735158671
Y_RNA,ENSG00000239143,1.1085291734213811,2.532005189573487,1.2221598096029944,2.0717464031123574,0.038289097397420806,0.05345086284022721
AC099518.1,ENSG00000260430,8.37253056289211,0.7788384600798053,0.3759546906395378,2.0716285219235346,0.03830009790506193,0.053464561475596376
C1orf167,ENSG00000215910,2.4887165653838914,1.280702853511114,0.6183260648598808,2.0712419001798583,0.03833619576418806,0.053513292521409635
AP000763.2,ENSG00000256148,47.35325183098216,0.6281033218543436,0.3032594927471499,2.0711744788745667,0.03834249367547083,0.05352042424581487
AC106894.1,ENSG00000249998,1.5800810513604175,1.8183530701632964,0.8780308143088218,2.0709444822784357,0.03836398457306868,0.05354785755645748
TOGARAM2,ENSG00000189350,171.9443998421508,-0.9412740613300488,0.4545156582192176,-2.0709386889286496,0.03836452603625091,0.05354785755645748
PAXX,ENSG00000148362,896.1297662186114,-0.4053562080312271,0.19574040012305227,-2.0708867856426156,0.03836937735690592,0.053552968508155246
ATP5PBP4,ENSG00000214025,0.9492995960209424,2.7954022576193123,1.3498957022289464,2.07082832622072,0.0383748420939827,0.05355750102775841
AGR3,ENSG00000173467,3.6087785379363932,1.7947190888056177,0.866667974455379,2.070826593002278,0.03837500412386776,0.05355750102775841
AC091271.1,ENSG00000273702,76.63941295672497,-0.6787821973787965,0.3277900242772299,-2.0707835721221137,0.038379026116203155,0.053561453801393454
AC120498.2,ENSG00000260182,0.6877837289089067,-3.3976712794717603,1.6407986954809624,-2.070742309114167,0.03838288410294023,0.05356517745219214
MAPK6,ENSG00000069956,3301.243192191284,-0.2763229588712635,0.13345595625697168,-2.0705179942602117,0.0384038627414177,0.05359279283186248
MTND2P12,ENSG00000228725,0.9725660292090788,2.806536818542467,1.355576069359169,2.070364682573086,0.038418206544422705,0.05361114783867102
PSMC1P3,ENSG00000231244,1.646112472992014,2.306446680831872,1.1141233395052228,2.0701897169268126,0.03843458185024124,0.05363233650474275
LINC00535,ENSG00000246662,40.420440393548404,0.44377943276718385,0.21437724587273946,2.070086454187513,0.03844424915365421,0.05364416367505684
CRYBB2,ENSG00000244752,11.371400904002716,-0.8094509996119592,0.39104446482949107,-2.0699717613057325,0.038454988952489125,0.053657486599681
FES,ENSG00000182511,638.8425808355514,0.3798879058703005,0.18352712144771888,2.069927882449345,0.03845909842668675,0.05366155747934328
MTND2P11,ENSG00000237124,1.275696581959333,3.2186654054403423,1.5550095209163177,2.069868616330841,0.03846464958744599,0.05366763961374918
Metazoa_SRP,ENSG00000274357,1.096333329399672,3.004267047736631,1.4514637665480217,2.0698188387310563,0.038469312532334224,0.05367248213013774
AC003001.1,ENSG00000235461,1.9402435216917633,1.618400556363756,0.7819432471592836,2.0697161363605767,0.038478934753426605,0.05368424332665527
RBM46,ENSG00000151962,8.895901518399548,1.5255947990784637,0.7372175560286315,2.069395643935552,0.03850897495422965,0.05372448924554416
ZDHHC12,ENSG00000160446,203.90673427039656,0.3895798703138004,0.18825976696132046,2.069374017624503,0.038511002736130555,0.05372565330579056
AC011602.1,ENSG00000258193,1.053704336357825,2.912936480526467,1.407954941491137,2.0689131410991277,0.038554238208011286,0.05378430324088067
ENKD1,ENSG00000124074,580.5851180114896,0.38811430248599504,0.18759810625008494,2.068860449841664,0.038559183875362744,0.05378953578597408
HMGN1P14,ENSG00000249439,1.0834829356078535,2.9589202164699,1.4302413155664913,2.068825857752493,0.03856243102530011,0.05379239867158261
CP,ENSG00000047457,1261.7469430618798,1.1388250150609394,0.5504756265599652,2.0688018871565483,0.0385646812748885,0.0537938708035634
AC009137.1,ENSG00000260999,1.1204402154294715,2.986610223672577,1.4441388812763059,2.0680907234026282,0.0386314928520116,0.05388539664460759
RPS3AP51,ENSG00000225971,1.3586967653003137,1.9847804116468408,0.9598386363915747,2.0678271705215376,0.038656277776598455,0.05391829747257051
AL035078.2,ENSG00000254627,1.0669411022488136,2.5137975157832932,1.2156960938379013,2.0677844804513112,0.038660293688829964,0.053922228260911365
AP001150.1,ENSG00000259541,1.1710409813402785,3.0788247817459107,1.4889786100340137,2.067742787571394,0.03866421613622072,0.053926028447751434
LINC00703,ENSG00000224382,0.49762660801647757,-3.2418141253833666,1.5678727122968172,-2.0676513469223847,0.03867282001553542,0.05393635751663276
MIR3144,ENSG00000265725,1.8070873086520178,3.7157368459375735,1.7970936563565016,2.0676367271091505,0.038674195781161394,0.053936605324414647
HMGB1P5,ENSG00000132967,149.77224713479768,-0.6997768830750366,0.338471334623872,-2.067462770082634,0.038690568819278376,0.05395776827468459
TLX1,ENSG00000107807,4.137075031605235,2.241873808355877,1.0845667281680245,2.067068581517982,0.03872769210301266,0.05400786725684676
CHRNE,ENSG00000108556,35.45703682119884,0.920675582509241,0.44542842775247216,2.0669439244251993,0.03873943816382659,0.054022574317669034
OSTN,ENSG00000188729,80.98615541544703,-1.9174458765990654,0.9276839314451485,-2.0669172027288036,0.038741956462401056,0.05402441264963552
GYG2P1,ENSG00000206159,10.412241383530784,-2.2261669358464236,1.0771028265008318,-2.066810039927701,0.03875205706634121,0.05403682382126731
ADAM3A,ENSG00000197475,0.5543819108784924,-2.52353645860849,1.2210450586187829,-2.066702158774594,0.03876222763830576,0.054049331786188655
AL160286.1,ENSG00000227141,33.328891145523876,0.990353907211575,0.47920106473863583,2.0666771843500187,0.03876458244309598,0.054050941152963675
IL20RA,ENSG00000016402,120.05366888270342,-1.0636954925999231,0.5146956082921904,-2.066649638082919,0.03876717988441077,0.05405288872696632
FABP5P12,ENSG00000249367,1.059026426267566,2.4830523137415055,1.2015039497980018,2.06662018394443,0.038769957389697456,0.05405508723487224
RPS20P24,ENSG00000236862,2.014114003791334,1.4819533961799687,0.7171385096574007,2.066481406622472,0.03878304627216765,0.05407166181872764
RNU6-1181P,ENSG00000206918,1.0856491083374207,2.994377868484129,1.449105967037542,2.0663622513442825,0.038794287482988084,0.05408565941583229
YY1AP1,ENSG00000163374,2497.4506531113393,0.28937245679427964,0.14004584943242937,2.0662694250992337,0.038803046708504915,0.05409619595473129
DNAJC19P1,ENSG00000237141,1.1663208028552723,2.6298829180665306,1.272906039095249,2.0660463830745814,0.038824100162182885,0.05412387096898124
TTL,ENSG00000114999,3675.418248243601,-0.22632211394572319,0.10955288765830384,-2.0658708207822265,0.03884067871898198,0.054145306101747996
STYXL1,ENSG00000127952,586.5466387868548,-0.3615958807494036,0.1750350172351488,-2.065848802492028,0.03884275835678914,0.05414652851724075
AC008608.1,ENSG00000271128,1.1915481350963122,2.658095116107216,1.2870280339337579,2.0652969834564034,0.03889490882498212,0.05421754707678568
CNOT7P1,ENSG00000233229,1.8959302751895317,1.4657275101883678,0.7097900226355087,2.065015657371459,0.038921518843620856,0.054252960238442186
AC025165.1,ENSG00000224713,67.97328735359201,-0.4679857273663524,0.22663796760965763,-2.064904359592441,0.03893205052547771,0.05426596020207075
STK16,ENSG00000115661,735.1222622064271,-0.22566345227063977,0.1092934796589646,-2.064747622408874,0.03894688606879043,0.05428495816993952
LINC01848,ENSG00000254106,1.1520872192946032,2.652391703599719,1.2848097710588906,2.064423670605899,0.03897756408961745,0.054324353975124244
LINC02682,ENSG00000254661,0.9614733534513304,2.8007652529511695,1.3566733748667177,2.0644359245469253,0.03897640327611506,0.054324353975124244
LINC02584,ENSG00000254417,1.4472707372493328,2.497839616515803,1.2100851953325034,2.064184923632137,0.039000186405408685,0.05435420072395188
STRA8,ENSG00000146857,2.4725825120308937,1.6531460843121413,0.8009613016012206,2.0639525043311058,0.03902221985862405,0.05438322495791091
AC027601.2,ENSG00000262115,4.851116052615234,0.9763178144041301,0.4730462381067965,2.0638951031753336,0.039027663141520556,0.054389127258795
ZBTB14,ENSG00000198081,643.4143045494436,-0.25488322232880556,0.12349783233083686,-2.063867984710873,0.039030234977351586,0.054391027656566816
PTP4A1P1,ENSG00000231158,5.407307215557227,1.0816726396501621,0.5241168653886984,2.0638004824514975,0.03903663731925391,0.05439826581673657
ZNF383,ENSG00000188283,829.4712129876839,0.3447701329234286,0.16706519527215555,2.063686169712279,0.0390474814979465,0.054411693117777986
NPS,ENSG00000214285,1.1948676705500225,2.6985644446607817,1.3076577118096142,2.063662700330309,0.039049708217026,0.054413111743911516
AC026369.3,ENSG00000256948,1.0433303580786024,2.928248658524735,1.419044025576204,2.063536159377238,0.03906171597983695,0.0544281590793983
AC128687.2,ENSG00000273394,7.632288098033739,-0.7786887994638204,0.37745224065080557,-2.0630127883760876,0.0391114131747465,0.054495719892105006
PES1P2,ENSG00000229268,5.547617786975775,-0.9367181234278609,0.454089443337395,-2.0628493728973694,0.03912694144478573,0.05451566887136915
AP003072.3,ENSG00000279269,1.3683918128083086,2.8713741158815003,1.3920195676044913,2.062739765090236,0.03913735966833416,0.05452849699519484
EIF2B5,ENSG00000145191,2382.1618878486315,-0.23376415929211825,0.11333169159915242,-2.062654814320856,0.039145435860531846,0.05453806136865296
MAN1A2P1,ENSG00000267799,4.592160416703072,-1.72063795912365,0.8342359686838864,-2.0625314943422732,0.03915716229698252,0.054552710572750386
C10orf105,ENSG00000214688,57.32708041885571,-1.5586062672788448,0.7557217238709718,-2.0624076535676688,0.03916894125761031,0.054567432043210844
AC006205.1,ENSG00000255825,0.9956055656609446,2.8508619363364933,1.3824077331514761,2.0622439154310723,0.039184519625121636,0.05458744550697335
LINC02370,ENSG00000230294,1.624036312297667,-1.6019155732458294,0.7767985577680911,-2.0622020435368427,0.039188504243960844,0.05459130713119638
MIR548AG2,ENSG00000265617,1.657437680390697,3.567018412414593,1.730030448846075,2.0618240648849757,0.03922448907416125,0.0546397448366132
IATPR,ENSG00000233387,1.0534783907391088,2.932314971276331,1.4223707640937149,2.06156864672672,0.03924882161935874,0.05467194840440332
CTSO,ENSG00000256043,1215.729235480477,0.49353966496668644,0.23940613366700508,2.061516375571066,0.03925380283809317,0.05467719523416202
CLDN23,ENSG00000253958,24.731724998421072,0.7956292904115047,0.38594612379098864,2.0615035140044116,0.03925502857296114,0.05467721083277552
AOC2,ENSG00000131480,118.61337475414008,-0.4155340179155352,0.2015712041705863,-2.061475098218274,0.03925773677350536,0.05467759959800878
AL355314.2,ENSG00000228048,1.6254606372640699,3.567991643048021,1.7307888943581085,2.0614828617624505,0.03925699684387499,0.05467759959800878
AP3D1,ENSG00000065000,6724.4805109814515,-0.2766300515317565,0.13419835519141254,-2.061352027282211,0.03926946802813691,0.05469224666373888
AC104002.1,ENSG00000258970,1.1888998481987878,3.1173464667993467,1.5123597027147833,2.061246713466055,0.039279509018185256,0.054704538793184286
SSBL4P,ENSG00000230832,1.0455857935281516,2.8843427559985435,1.3993624549764492,2.0611834666145064,0.03928554024337618,0.054711245938766084
AMIGO3,ENSG00000176020,1.0290834452940218,2.8971384462178333,1.4057351967909784,2.060941813814892,0.039308591517292796,0.05474165501027019
AC005076.1,ENSG00000224046,44.902730373650016,-0.5295315874897261,0.25695847641625574,-2.060767151467383,0.03932525971740928,0.05476317332399308
MIR4454,ENSG00000283468,1.0122552398578182,2.861246832345363,1.3885001448387786,2.060674493251556,0.03933410461827332,0.054773796152372385
OTX2P1,ENSG00000234644,1.177190005500643,2.6100154672352582,1.266596636509646,2.060652453986981,0.03933620867506692,0.05477503180769679
