sample_id,condition,dataset
GTEX-1445S-0011-R10a-SM-5PNWB,Normal,GTEx
GTEX-1445S-3026-SM-5O9BR,Normal,GTEx
GTEX-144FL-3026-SM-5O99C,Normal,GTEx
GTEX-144GL-3026-SM-5Q5CW,Normal,GTEx
GTEX-145LS-0011-R10a-SM-5PNUQ,Normal,GTEx
GTEX-145LS-3126-SM-5Q5BY,Normal,GTEx
GTEX-145LU-0011-R10a-SM-5PNWJ,Normal,GTEx
GTEX-145MF-2726-SM-5O995,Normal,GTEx
GTEX-145MG-0011-R10a-SM-5PNWG,Normal,GTEx
GTEX-145MG-3026-SM-5RQJA,Normal,GTEx
GTEX-145MH-0011-R10b-SM-5PNUK,Normal,GTEx
GTEX-145MH-3026-SM-5Q5DZ,Normal,GTEx
GTEX-145MI-0011-R10a-SM-5PNZD,Normal,GTEx
GTEX-14753-0011-R10b-SM-5S2WE,Normal,GTEx
GTEX-1477Z-0011-R10b-SM-5S2RF,Normal,GTEx
GTEX-147F4-0011-R10b-SM-5S2WC,Normal,GTEx
GTEX-147GR-0011-R10b-SM-5S2UM,Normal,GTEx
GTEX-147GR-3026-SM-5S2ML,Normal,GTEx
GTEX-14A5I-2926-SM-5Q5CQ,Normal,GTEx
GTEX-14ASI-0011-R10b-SM-5S2VZ,Normal,GTEx
GTEX-14ASI-3026-SM-5S2PN,Normal,GTEx
GTEX-14BIL-0011-R10a-SM-5SI75,Normal,GTEx
GTEX-14BIL-3026-SM-7EWD4,Normal,GTEx
GTEX-14BIM-3026-SM-7EWCY,Normal,GTEx
GTEX-14BIN-0011-R10a-SM-5S2UA,Normal,GTEx
GTEX-14BIN-3226-SM-62LDR,Normal,GTEx
GTEX-14BMV-3026-SM-5S2PQ,Normal,GTEx
GTEX-14C39-3126-SM-5ZZW6,Normal,GTEx
GTEX-14C5O-0011-R10a-SM-6872F,Normal,GTEx
GTEX-14C5O-3026-SM-5YYB2,Normal,GTEx
GTEX-14DAQ-3126-SM-62LDS,Normal,GTEx
GTEX-14E6D-0011-R10a-SM-5YY9C,Normal,GTEx
GTEX-14E7W-0011-R10a-SM-5YYAX,Normal,GTEx
GTEX-14JG1-3026-SM-5YYAA,Normal,GTEx
GTEX-14JIY-0011-R10a-SM-6AJAO,Normal,GTEx
GTEX-14JIY-2926-SM-69LPT,Normal,GTEx
GTEX-14LZ3-0011-R10b-SM-6AJA9,Normal,GTEx
GTEX-14LZ3-3026-SM-5ZZVU,Normal,GTEx
GTEX-14PJM-0011-R10a-SM-686ZP,Normal,GTEx
GTEX-14PJM-3126-SM-6EU2R,Normal,GTEx
GTEX-14PJO-0011-R10a-SM-686ZS,Normal,GTEx
GTEX-14PN4-0011-R10b-SM-69LP2,Normal,GTEx
GTEX-14PQA-0011-R10a-SM-6AJAA,Normal,GTEx
GTEX-15CHQ-0011-R10b-SM-6AJBV,Normal,GTEx
GTEX-15DCD-0011-R10b-SM-6LPII,Normal,GTEx
GTEX-15DCD-2926-SM-7KULT,Normal,GTEx
GTEX-15DDE-0011-R10a-SM-7KUKW,Normal,GTEx
GTEX-15EO6-3026-SM-7KUMA,Normal,GTEx
GTEX-15ER7-3126-SM-7KUGH,Normal,GTEx
GTEX-15G19-0011-R10b-SM-7KUG4,Normal,GTEx
GTEX-15G19-2926-SM-7KUFL,Normal,GTEx
GTEX-15RJE-3026-SM-7KUM1,Normal,GTEx
GTEX-15SHU-3126-SM-6M46H,Normal,GTEx
GTEX-15UF6-0011-R10b-SM-9OSVF,Normal,GTEx
GTEX-15UF6-3026-SM-7KUKL,Normal,GTEx
GTEX-16GPK-0011-R10b-SM-7MKFG,Normal,GTEx
GTEX-16GPK-3026-SM-79ON9,Normal,GTEx
GTEX-16NPV-0011-R10a-SM-79OKA,Normal,GTEx
GTEX-16XZZ-0011-R10b-SM-7LT91,Normal,GTEx
GTEX-16XZZ-3026-SM-79OMJ,Normal,GTEx
GTEX-16YQH-0011-R10b-SM-7LT8U,Normal,GTEx
GTEX-16YQH-3026-SM-79OMM,Normal,GTEx
GTEX-16Z82-0011-R10a-SM-79OJX,Normal,GTEx
GTEX-16Z82-3026-SM-79ON3,Normal,GTEx
GTEX-17EVP-0011-R10a-SM-7IGLP,Normal,GTEx
GTEX-17EVP-3026-SM-7IGQL,Normal,GTEx
GTEX-17EVQ-2826-SM-7IGQK,Normal,GTEx
GTEX-17F97-0011-R10b-SM-793BB,Normal,GTEx
GTEX-17F97-3026-SM-79OKC,Normal,GTEx
GTEX-17HG3-0011-R10b-SM-7LT97,Normal,GTEx
GTEX-17HG3-2926-SM-79ON8,Normal,GTEx
GTEX-17HHY-3026-SM-79OKP,Normal,GTEx
GTEX-17HII-0011-R10a-SM-79OMY,Normal,GTEx
GTEX-17HII-3026-SM-7EWFM,Normal,GTEx
GTEX-17JCI-0011-R10b-SM-718A2,Normal,GTEx
GTEX-17JCI-3126-SM-7LTA2,Normal,GTEx
GTEX-17MF6-2926-SM-7LTAW,Normal,GTEx
GTEX-183WM-2826-SM-731C2,Normal,GTEx
GTEX-18464-0011-R10a-SM-72D6X,Normal,GTEx
GTEX-18465-3026-SM-7LG6Y,Normal,GTEx
GTEX-18A6Q-0011-R10b-SM-72D7A,Normal,GTEx
GTEX-18A6Q-2926-SM-718AR,Normal,GTEx
GTEX-1A3MX-0011-R10b-SM-7P8PG,Normal,GTEx
GTEX-1A3MX-3026-SM-731BF,Normal,GTEx
GTEX-1A8G6-0011-R10b-SM-7P8PB,Normal,GTEx
GTEX-1A8G6-2926-SM-731CK,Normal,GTEx
GTEX-1A8G7-3126-SM-7IGP7,Normal,GTEx
GTEX-1AX9I-3026-SM-73KUH,Normal,GTEx
GTEX-1B8L1-0011-R10b-SM-7P8Q4,Normal,GTEx
GTEX-1B8L1-3026-SM-7EPHK,Normal,GTEx
GTEX-1B8SF-0011-R10b-SM-7P8SW,Normal,GTEx
GTEX-1B8SF-3126-SM-73KU1,Normal,GTEx
GTEX-1B8SG-1726-SM-73KXK,Normal,GTEx
GTEX-1B933-0011-R10b-SM-9OSVN,Normal,GTEx
GTEX-1B933-3126-SM-7P8RL,Normal,GTEx
GTEX-1B996-0011-R10b-SM-CJI3T,Normal,GTEx
GTEX-1BAJH-0011-R10a-SM-7MXT9,Normal,GTEx
GTEX-1C64N-3026-SM-7MGVU,Normal,GTEx
GTEX-1C6VQ-0011-R10b-SM-7P8Q1,Normal,GTEx
GTEX-1C6VQ-3026-SM-7IGPU,Normal,GTEx
GTEX-1C6VR-0011-R10b-SM-7P8QA,Normal,GTEx
GTEX-1C6VS-3026-SM-79OLA,Normal,GTEx
GTEX-1C6WA-3026-SM-7P8RQ,Normal,GTEx
GTEX-1CAV2-2726-SM-7IGNN,Normal,GTEx
GTEX-1CB4G-0011-R10a-SM-9QEHS,Normal,GTEx
GTEX-1CB4H-0011-R10b-SM-9QEH3,Normal,GTEx
GTEX-1CB4H-3126-SM-7IGN4,Normal,GTEx
GTEX-1CB4J-0011-R10a-SM-9WG63,Normal,GTEx
GTEX-1E1VI-0011-R10b-SM-ARU8F,Normal,GTEx
